(0,0,14,12)
(0,1,27,23)
(490,0,15,13)
(490,1,29,23)
(980,0,15,13)
(980,1,29,23)
(1470,0,15,13)
(1470,1,29,23)
(1960,0,16,13)
(1960,1,31,23)
(2450,0,15,12)
(2450,1,29,23)
(2940,0,16,12)
(2940,1,31,23)
(3430,0,16,12)
(3430,1,31,23)
(3920,0,16,12)
(3920,1,31,23)
(4410,0,16,12)
(4410,1,31,23)
(4900,0,16,12)
(4900,1,31,23)
(5390,0,16,12)
(5390,1,31,23)
(5880,0,16,12)
(5880,1,31,23)
(6370,0,16,12)
(6370,1,31,23)
(6860,0,16,12)
(6860,1,31,23)
(7350,0,16,12)
(7350,1,31,23)
(7840,0,16,12)
(7840,1,31,23)
(8330,0,16,12)
(8330,1,31,23)
(8820,0,16,12)
(8820,1,31,23)
(9310,0,16,12)
(9310,1,31,24)
(9800,0,16,12)
(9800,1,31,24)
